Order ID,Customer ID,Product Category,Order Date,Quantity Ordered,Order Status,Manufacturer Price,Sale Price,Sales Agent,Return Reason
1001,1234,Clothing,2022-10-11,16,Delivered,1485,1880,Kelly,
1002,1235,Home & Kitchen,2022-10-09,11,Delivered,1310,1602,Brian,
1003,1236,Personal Care,2022-10-21,4,Shipped,800,891,Terrence,
1004,1237,Personal Care,2022-10-26,20,Cancelled,1190,1462,Brian,Defective
1005,1238,Electronics,2022-10-22,9,Shipped,470,525,Daniel,
1006,1239,Home & Kitchen,2022-10-01,11,Shipped,115,134,Kelly,
1007,1240,Electronics,2022-10-27,1,Shipped,755,833,Brian,
1008,1241,Home & Kitchen,2022-10-05,12,Shipped,935,1091,Brian,
1009,1242,Personal Care,2022-10-21,8,Delivered,545,652,Terrence,
1010,1243,Home & Kitchen,2022-10-11,19,Delivered,435,522,Terrence,
1011,1244,Clothing,2022-10-14,16,Delivered,205,256,Terrence,
1012,1245,Personal Care,2022-10-16,3,Delivered,925,1092,Kelly,
1013,1246,Personal Care,2022-10-20,12,Shipped,450,564,Kelly,
1014,1247,Pets,2022-10-12,7,Delivered,1220,1469,Priscilla,
1015,1248,Clothing,2022-10-15,6,Shipped,955,1213,Priscilla,
1016,1249,Electronics,2022-10-06,4,Shipped,1325,1536,Kelly,
1017,1250,Clothing,2022-10-24,7,In Transit,540,697,Kelly,
1018,1251,Electronics,2022-10-17,7,Shipped,185,235,Daniel,
1019,1252,Sports & Outdoors,2022-10-30,6,Shipped,440,552,Brian,
1020,1253,Home & Kitchen,2022-10-20,12,Delivered,1105,1431,Priscilla,
1021,1254,Books,2022-10-17,14,Cancelled,320,412,Daniel,Defective
1022,1255,Home & Kitchen,2022-10-05,3,Shipped,800,1017,Kelly,
1023,1256,Sports & Outdoors,2022-10-11,18,In Transit,155,179,Terrence,
1024,1257,Clothing,2022-10-22,9,In Transit,1065,1172,Daniel,
1025,1258,Clothing,2022-10-27,2,In Transit,455,503,Kelly,
1026,1259,Electronics,2022-10-12,1,Delivered,390,434,Priscilla,
1027,1260,Sports & Outdoors,2022-10-02,14,Shipped,665,734,Kelly,
1028,1261,Pets,2022-10-11,3,Shipped,880,1072,Terrence,
1029,1262,Pets,2022-10-03,6,Cancelled,80,89,Kelly,Late Delivery
1030,1263,Sports & Outdoors,2022-10-13,12,Delivered,1025,1297,Kelly,
1031,1264,Home & Kitchen,2022-10-01,10,Shipped,395,458,Daniel,
1032,1265,Personal Care,2022-10-27,17,Delivered,845,1023,Kelly,
1033,1266,Personal Care,2022-10-17,10,Shipped,1260,1540,Daniel,
1034,1267,Pets,2022-10-30,11,Cancelled,1360,1605,Brian,Late Delivery
1035,1268,Electronics,2022-10-11,16,Cancelled,235,276,Daniel,Defective
1036,1269,Books,2022-10-29,9,Delivered,1190,1316,Daniel,
1037,1270,Pets,2022-10-18,9,Cancelled,190,231,Priscilla,Defective
1038,1271,Electronics,2022-10-10,14,Shipped,35,43,Priscilla,
1039,1272,Clothing,2022-10-03,20,Delivered,1125,1351,Terrence,
1040,1273,Home & Kitchen,2022-10-08,8,Cancelled,875,1036,Priscilla,Quality Issue
1041,1274,Pets,2022-10-20,14,Cancelled,205,258,Daniel,Late Delivery
1042,1275,Personal Care,2022-10-08,15,Shipped,1475,1634,Priscilla,
1043,1276,Sports & Outdoors,2022-10-25,8,Delivered,720,816,Priscilla,
1044,1277,Sports & Outdoors,2022-10-06,20,Shipped,1400,1555,Kelly,
1045,1278,Sports & Outdoors,2022-10-23,7,Delivered,795,939,Kelly,
1046,1279,Clothing,2022-10-15,8,Delivered,755,845,Terrence,
1047,1280,Pets,2022-10-19,2,Cancelled,50,63,Terrence,Received Wrong Item
1048,1281,Electronics,2022-10-21,8,Delivered,1450,1607,Terrence,
1049,1282,Books,2022-10-26,6,Delivered,1390,1553,Priscilla,
1050,1283,Electronics,2022-10-11,8,Delivered,1375,1595,Terrence,
1051,1284,Home & Kitchen,2022-10-02,5,Delivered,95,112,Priscilla,
1052,1285,Clothing,2022-10-01,18,Shipped,450,509,Terrence,
1053,1286,Books,2022-10-20,4,Delivered,610,760,Brian,
1054,1287,Home & Kitchen,2022-10-22,12,Delivered,765,951,Brian,
1055,1288,Clothing,2022-10-01,2,Shipped,585,696,Daniel,
1056,1289,Sports & Outdoors,2022-10-16,9,In Transit,285,368,Daniel,
1057,1290,Personal Care,2022-10-11,20,Cancelled,830,937,Terrence,Defective
1058,1291,Sports & Outdoors,2022-10-20,2,In Transit,890,1149,Daniel,
1059,1292,Electronics,2022-10-22,16,Delivered,1415,1558,Brian,
1060,1293,Pets,2022-10-28,4,Shipped,1420,1608,Priscilla,
1061,1294,Pets,2022-10-17,16,Delivered,485,606,Brian,
1062,1295,Books,2022-10-04,19,Cancelled,365,421,Daniel,Received Wrong Item
1063,1296,Electronics,2022-10-12,1,Cancelled,330,388,Priscilla,Quality Issue
1064,1297,Electronics,2022-10-08,11,Cancelled,1205,1539,Daniel,Late Delivery
1065,1298,Sports & Outdoors,2022-10-09,14,Shipped,970,1204,Daniel,
1066,1299,Pets,2022-10-04,2,In Transit,490,582,Terrence,
1067,1300,Personal Care,2022-10-18,11,Shipped,1410,1613,Priscilla,
1068,1301,Books,2022-10-22,2,Shipped,1220,1473,Daniel,
1069,1302,Electronics,2022-10-13,6,Cancelled,230,274,Terrence,Unsatisfied
1070,1303,Pets,2022-10-02,9,Shipped,680,831,Terrence,
1071,1304,Books,2022-10-08,14,Shipped,525,579,Kelly,
1072,1305,Personal Care,2022-10-12,4,Delivered,1070,1331,Brian,
1073,1306,Sports & Outdoors,2022-10-03,6,Shipped,1005,1303,Terrence,
1074,1307,Clothing,2022-10-27,1,Shipped,630,761,Priscilla,
1075,1308,Electronics,2022-10-15,7,Delivered,345,432,Daniel,
1076,1309,Clothing,2022-10-04,17,Delivered,1115,1404,Daniel,
1077,1310,Home & Kitchen,2022-10-09,11,Shipped,45,56,Kelly,
1078,1311,Sports & Outdoors,2022-10-12,9,Delivered,970,1104,Kelly,
1079,1312,Electronics,2022-10-13,16,Delivered,615,787,Daniel,
1080,1313,Pets,2022-10-19,12,Delivered,1135,1344,Daniel,
1081,1314,Electronics,2022-10-30,11,In Transit,450,496,Brian,
1082,1315,Personal Care,2022-10-07,7,Cancelled,595,692,Daniel,Quality Issue
1083,1316,Clothing,2022-10-06,10,Delivered,1300,1635,Terrence,
1084,1317,Pets,2022-10-25,5,Delivered,1010,1294,Brian,
1085,1318,Pets,2022-10-16,8,Shipped,405,449,Daniel,
1086,1319,Pets,2022-10-15,7,Delivered,1390,1660,Brian,
1087,1320,Books,2022-10-09,16,Shipped,1195,1466,Terrence,
1088,1321,Clothing,2022-10-14,12,Shipped,540,668,Priscilla,
1089,1322,Electronics,2022-10-31,14,Shipped,750,881,Priscilla,
1090,1323,Books,2022-10-21,6,Delivered,1320,1549,Brian,
1091,1324,Books,2022-10-31,16,Delivered,1060,1334,Priscilla,
1092,1325,Clothing,2022-10-09,8,Delivered,845,1086,Daniel,
1093,1326,Clothing,2022-10-25,7,Shipped,390,481,Kelly,
1094,1327,Home & Kitchen,2022-10-22,14,Delivered,500,614,Daniel,
1095,1328,Sports & Outdoors,2022-10-22,12,Shipped,525,595,Daniel,
1096,1329,Personal Care,2022-10-05,5,Shipped,1320,1602,Priscilla,
1097,1330,Clothing,2022-10-30,14,Shipped,1500,1690,Daniel,
1098,1331,Sports & Outdoors,2022-10-24,3,Delivered,1200,1440,Terrence,
1099,1332,Sports & Outdoors,2022-10-01,16,Delivered,485,630,Terrence,
1100,1333,Personal Care,2022-10-28,12,Shipped,250,277,Brian,
